R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,A_NUMERO_CP,A_CLAU_UNICA_CP,_merge_01,A_IDTOTS_CA,A_CLAU_UNICA_CA,A_ID_CA,A_EXPEDIENT_CA,A_EMPRESA_CA,A_REF_ODOO_CA,A_FECHA_ALTA_ODOO_CA,A_NUMERO_CA,A_FECHA_EMISION_CA,A_PROVEEDOR_CA,A_ORIGEN_CA,A_IMPORTE_CA,A_ACUMULADO_CA,A_ESTADO_CA,_merge
148,16,6368,ADG32 6368 LPIZA SL,Facturada,ROCALLA SA,2025-12-03,554316,22,2025/00027,4663.34,58488.98,2025-12-24,554316,6368-C-C/00015,both,145,6368-C-C/00015,15,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00015,2025-12-03,22,2025-12-03,ROCALLA SA,C-C/00015,4663.34,54575.84,Hecho,both
149,17,6368,ADG32 6368 LPIZA SL,Facturada,ALUBIX SL,2025-12-10,556851,28,2025/00030,3593.7,62082.68,2025-12-24,556851,6368-C-C/00017,both,147,6368-C-C/00017,17,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00017,2025-12-10,28,2025-12-10,ALUBIX SL,C-C/00017,3593.7,62082.68,Hecho,both
150,18,6368,ADG32 6368 LPIZA SL,Facturada,ROCALLA SA,2025-12-10,556855,26,2025/00029,5186.06,67268.74,2025-12-24,556855,6368-C-C/00018,both,148,6368-C-C/00018,18,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00018,2025-12-10,26,2025-12-10,ROCALLA SA,C-C/00018,5186.06,67268.74,Hecho,both
151,19,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX,2025-12-17,560474,32,2025/00031,3283.94,70552.68,2025-12-24,560474,6368-C-C/00019,both,149,6368-C-C/00019,19,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00019,2025-12-17,32,2025-12-17,ALUBIX SL,C-C/00019,3283.94,70552.68,Hecho,both
152,20,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA,2025-12-17,560477,30,2025/00034,3741.32,74294.0,2025-12-24,560477,6368-C-C/00020,both,150,6368-C-C/00020,20,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00020,2025-12-17,30,2025-12-17,ROCALLA SA,C-C/00020,3741.32,74294.0,Hecho,both
153,21,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX,2025-12-24,561675,34,2025/00034,171.82,74465.82,2025-12-24,,,left_only,,,,,,,,,,,,,,,left_only
154,22,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA,2025-12-24,561677,31,2025/00036,162.14,74627.96,2025-12-24,,,left_only,,,,,,,,,,,,,,,left_only
155,1,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-17,535276,1,2025/00002,1239.04,1239.04,2025-12-18,535276,6369-C-C/00002,both,152,6369-C-C/00002,2,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00002,2025-10-17,1,2025-10-17,ALUBIX SL,C-C/00002,1239.04,2832.61,Hecho,both
156,2,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-10-17,535299,5,2025/00001,1593.57,2832.61,2025-12-18,535299,6369-C-C/00001,both,151,6369-C-C/00001,1,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00001,2025-10-17,5,2025-10-17,ROCALLA SA,C-C/00001,1593.57,1593.57,Hecho,both
157,3,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-22,537048,2,2025/00009,1840.41,4673.02,2025-12-18,537048,6369-C-C/00004,both,154,6369-C-C/00004,4,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00004,2025-10-22,2,2025-10-22,ALUBIX SL,C-C/00004,1840.41,8941.9,Hecho,both
158,4,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-22,537049,4,2025/00007,1583.89,6256.91,2025-12-18,537049,6369-C-C/00005,both,155,6369-C-C/00005,5,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00005,2025-10-22,4,2025-10-22,ALUBIX SL,C-C/00005,1583.89,10525.79,Hecho,both
159,5,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-10-22,537052,7,2025/00005,4268.88,10525.79,2025-12-18,537052,6369-C-C/00003,both,153,6369-C-C/00003,3,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00003,2025-10-22,7,2025-10-22,ROCALLA SA,C-C/00003,4268.88,7101.49,Hecho,both
160,6,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-29,540055,8,2025/00012,3286.36,13812.15,2025-12-18,540055,6369-C-C/00007,both,157,6369-C-C/00007,7,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00008,2025-10-29,8,2025-10-29,ALUBIX SL,C-C/00007,3286.36,18356.91,Hecho,both
161,7,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-10-29,540058,12,2025/00009,4544.76,18356.91,2025-12-18,540058,6369-C-C/00006,both,156,6369-C-C/00006,6,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00007,2025-10-29,12,2025-10-29,ROCALLA SA,C-C/00006,4544.76,15070.55,Hecho,both
162,8,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ALUBIX SL,2025-11-05,542280,9,2025/00013,3501.74,21858.65,2025-12-18,542280,6369-C-C/00008,both,158,6369-C-C/00008,8,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00009,2025-11-05,9,2025-11-05,ALUBIX SL,C-C/00008,3501.74,21858.65,Hecho,both
163,9,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ROCALLA SA,2025-11-05,542281,13,2025/00014,4034.14,25892.79,2025-12-18,542281,6369-C-C/00009,both,159,6369-C-C/00009,9,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00010,2025-11-05,13,2025-11-05,ROCALLA SA,C-C/00009,4034.14,25892.79,Hecho,both
164,10,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ALUBIX SL,2025-11-12,544972,10,2025/00015,3682.64,29575.43,2025-12-18,544972,6369-C-C/00010,both,160,6369-C-C/00010,10,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00011,2025-11-12,10,2025-11-12,ALUBIX SL,C-C/00010,3682.64,29575.43,Hecho,both
165,11,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ROCALLA SA,2025-11-12,544977,17,2025/00015,4266.46,33841.89,2025-12-18,544977,6369-C-C/00011,both,161,6369-C-C/00011,11,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00012,2025-11-12,17,2025-11-12,ROCALLA SA,C-C/00011,4266.46,33841.89,Hecho,both
166,12,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ALUBIX SL,2025-11-19,547924,12,2025/00017,3590.07,37431.96,2025-12-18,547924,6369-C-C/00012,both,162,6369-C-C/00012,12,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00013,2025-11-19,12,2025-11-19,ALUBIX SL,C-C/00012,3590.07,37431.96,Hecho,both
167,13,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ROCALLA SA,2025-11-19,547925,21,2025/00017,4089.8,41521.76,2025-12-18,547925,6369-C-C/00013,both,163,6369-C-C/00013,13,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00014,2025-11-19,21,2025-11-19,ROCALLA SA,C-C/00013,4089.8,41521.76,Hecho,both
168,14,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ALUBIX SL,2025-11-26,551192,16,2025/00020,3931.29,45453.05,2025-12-18,551192,6369-C-C/00014,both,164,6369-C-C/00014,14,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00015,2025-11-26,16,2025-11-26,ALUBIX SL,C-C/00014,3931.29,45453.05,Hecho,both
169,15,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ROCALLA SA,2025-11-26,551194,26,2025/00022,4502.41,49955.46,2025-12-18,551194,6369-C-C/00015,both,165,6369-C-C/00015,15,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00016,2025-11-26,26,2025-11-26,ROCALLA SA,C-C/00015,4502.41,49955.46,Hecho,both
170,16,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ALUBIX SL,2025-12-03,554275,20,2025/00024,3245.83,53201.29,2025-12-18,554275,6369-C-C/00016,both,166,6369-C-C/00016,16,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00017,2025-12-03,20,2025-12-03,ALUBIX SL,C-C/00016,3245.83,53201.29,Hecho,both
171,17,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ROCALLA SA,2025-12-03,554280,30,2025/00027,4397.14,57598.43,2025-12-18,554280,6369-C-C/00017,both,167,6369-C-C/00017,17,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00018,2025-12-03,30,2025-12-03,ROCALLA SA,C-C/00017,4397.14,57598.43,Hecho,both
172,18,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ROCALLA SA,2025-12-03,554380,35,2025/00030,65.34,57663.77,2025-12-18,554380,6369-C-C/00018,both,168,6369-C-C/00018,18,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00019,2025-12-03,35,2025-12-03,ROCALLA SA,C-C/00018,65.34,57663.77,Hecho,both
173,19,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ROCALLA SA,2025-12-10,556808,36,2025/00035,4440.7,62104.47,2025-12-18,556808,6369-C-C/00019,both,169,6369-C-C/00019,19,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00020,2025-12-10,36,2025-12-10,ROCALLA SA,C-C/00019,4440.7,62104.47,Hecho,both
174,20,6369,ADG32 6369 VMASTRANGELO SL,Facturada,ALUBIX SL,2025-12-10,556812,24,2025/00027,3415.83,65520.3,2025-12-18,556812,6369-C-C/00020,both,170,6369-C-C/00020,20,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00021,2025-12-10,24,2025-12-10,ALUBIX SL,C-C/00020,3415.83,65520.3,Hecho,both
175,21,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX,2025-12-17,560905,26,2025/00030,3581.6,69101.9,2025-12-18,560905,6369-C-C/00021,both,171,6369-C-C/00021,21,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00022,2025-12-17,26,2025-12-17,ALUBIX SL,C-C/00021,3581.6,69101.9,Hecho,both
176,22,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA,2025-12-17,560906,38,2025/00037,4262.83,73364.73,2025-12-18,560906,6369-C-C/00022,both,172,6369-C-C/00022,22,6369,ADG32 6369 VMASTRANGELO SL,MGZ01/ENTRA/00023,2025-12-17,38,2025-12-17,ROCALLA SA,C-C/00022,4262.83,73364.73,Hecho,both
177,23,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX,2025-12-24,561674,30,2025/00031,163.35,73528.08,2025-12-18,,,left_only,,,,,,,,,,,,,,,left_only
178,24,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA,2025-12-24,561676,42,2025/00042,153.67,73681.75,2025-12-18,,,left_only,,,,,,,,,,,,,,,left_only
179,1,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-10-17,535280,5,2025/00001,1352.78,1352.78,2025-12-30,535280,6427-C-C/00002,both,174,6427-C-C/00002,2,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00002,2025-10-17,5,2025-10-17,ALUBIX SL,C-C/00002,1352.78,2139.28,Hecho,both
180,2,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-10-17,535303,3,2025/00001,786.5,2139.28,2025-12-30,535303,6427-C-C/00001,both,173,6427-C-C/00001,1,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00001,2025-10-17,3,2025-10-17,ROCALLA SA,C-C/00001,786.5,786.5,Hecho,both
181,3,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-10-23,537782,7,2025/00005,4619.78,6759.06,2025-12-30,537782,6427-C-C/00004,both,176,6427-C-C/00004,4,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00004,2025-10-23,7,2025-10-23,ALUBIX SL,C-C/00004,4619.78,9629.18,Hecho,both
182,4,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-10-23,537785,6,2025/00004,2870.12,9629.18,2025-12-30,537785,6427-C-C/00003,both,175,6427-C-C/00003,3,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00003,2025-10-23,6,2025-10-23,ROCALLA SA,C-C/00003,2870.12,5009.4,Hecho,both
183,5,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-10-29,540130,8,2025/00007,4474.58,14103.76,2025-12-30,540130,6427-C-C/00006,both,178,6427-C-C/00006,6,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00006,2025-10-29,8,2025-10-29,ALUBIX SL,C-C/00006,4474.58,16722.2,Hecho,both
184,6,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-10-29,540132,8,2025/00005,2618.44,16722.2,2025-12-30,540132,6427-C-C/00005,both,177,6427-C-C/00005,5,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00005,2025-10-29,8,2025-10-29,ROCALLA SA,C-C/00005,2618.44,12247.62,Hecho,both
185,7,6427,ADG32 6427 NANANOU SL,Facturada,ALUBIX SL,2025-11-05,542342,9,2025/00010,5186.06,21908.26,2025-12-30,542342,6427-C-C/00007,both,179,6427-C-C/00007,7,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00007,2025-11-05,9,2025-11-05,ALUBIX SL,C-C/00007,5186.06,21908.26,Hecho,both
186,8,6427,ADG32 6427 NANANOU SL,Facturada,ROCALLA SA,2025-11-05,542345,11,2025/00006,3274.26,25182.52,2025-12-30,542345,6427-C-C/00008,both,180,6427-C-C/00008,8,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00008,2025-11-05,11,2025-11-05,ROCALLA SA,C-C/00008,3274.26,25182.52,Hecho,both
187,9,6427,ADG32 6427 NANANOU SL,Facturada,ALUBIX SL,2025-11-12,544987,13,2025/00014,4636.72,29819.24,2025-12-30,544987,6427-C-C/00009,both,181,6427-C-C/00009,9,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00009,2025-11-12,13,2025-11-12,ALUBIX SL,C-C/00009,4636.72,29819.24,Hecho,both
188,10,6427,ADG32 6427 NANANOU SL,Facturada,ROCALLA SA,2025-11-12,544989,15,2025/00010,2816.88,32636.12,2025-12-30,544989,6427-C-C/00010,both,182,6427-C-C/00010,10,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00010,2025-11-12,15,2025-11-12,ROCALLA SA,C-C/00010,2816.88,32636.12,Hecho,both
189,11,6427,ADG32 6427 NANANOU SL,Facturada,ALUBIX SL,2025-11-19,548604,18,2025/00018,4542.34,37178.46,2025-12-30,548604,6427-C-C/00011,both,183,6427-C-C/00011,11,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00011,2025-11-21,18,2025-11-19,ALUBIX SL,C-C/00011,4542.34,37178.46,Hecho,both
190,12,6427,ADG32 6427 NANANOU SL,Facturada,ROCALLA SA,2025-11-19,548605,16,2025/00011,3332.34,40510.8,2025-12-30,548605,6427-C-C/00012,both,184,6427-C-C/00012,12,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00012,2025-11-21,16,2025-11-19,ROCALLA SA,C-C/00012,3332.34,40510.8,Hecho,both
191,13,6427,ADG32 6427 NANANOU SL,Facturada,ALUBIX SL,2025-11-26,551241,20,2025/00022,4881.14,45391.94,2025-12-30,551241,6427-C-C/00013,both,185,6427-C-C/00013,13,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00013,2025-11-26,20,2025-11-26,ALUBIX SL,C-C/00013,4881.14,45391.94,Hecho,both
192,14,6427,ADG32 6427 NANANOU SL,Facturada,ROCALLA SA,2025-11-26,551246,20,2025/00014,3160.52,48552.46,2025-12-30,551246,6427-C-C/00014,both,186,6427-C-C/00014,14,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00014,2025-11-26,20,2025-11-26,ROCALLA SA,C-C/00014,3160.52,48552.46,Hecho,both
193,15,6427,ADG32 6427 NANANOU SL,Facturada,ALUBIX SL,2025-12-03,554338,25,2025/00024,4653.66,53206.12,2025-12-30,554338,6427-C-C/00015,both,187,6427-C-C/00015,15,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00015,2025-12-03,25,2025-12-03,ALUBIX SL,C-C/00015,4653.66,53206.12,Hecho,both
194,16,6427,ADG32 6427 NANANOU SL,Facturada,ROCALLA SA,2025-12-03,554339,22,2025/00018,2792.68,55998.8,2025-12-30,554339,6427-C-C/00016,both,188,6427-C-C/00016,16,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00016,2025-12-03,22,2025-12-03,ROCALLA SA,C-C/00016,2792.68,55998.8,Hecho,both
195,17,6427,ADG32 6427 NANANOU SL,Facturada,ALUBIX SL,2025-12-10,556848,29,2025/00028,5164.28,61163.08,2025-12-30,556848,6427-C-C/00017,both,189,6427-C-C/00017,17,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00017,2025-12-10,29,2025-12-10,ALUBIX SL,C-C/00017,5164.28,61163.08,Hecho,both
196,18,6427,ADG32 6427 NANANOU SL,Facturada,ROCALLA SA,2025-12-10,556854,24,2025/00021,3254.9,64417.98,2025-12-30,556854,6427-C-C/00018,both,190,6427-C-C/00018,18,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00018,2025-12-10,24,2025-12-10,ROCALLA SA,C-C/00018,3254.9,64417.98,Hecho,both
197,19,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX,2025-12-17,560936,31,2025/00029,4670.6,69088.58,2025-12-30,560936,6427-C-C/00019,both,191,6427-C-C/00019,19,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00019,2025-12-17,31,2025-12-17,ALUBIX SL,C-C/00019,4670.6,69088.58,Hecho,both
198,20,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA,2025-12-17,560937,27,2025/00026,2974.18,72062.76,2025-12-30,560937,6427-C-C/00020,both,192,6427-C-C/00020,20,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00020,2025-12-17,27,2025-12-17,ROCALLA SA,C-C/00020,2974.18,72062.76,Hecho,both
199,21,6427,ADG32 6427 NANANOU SL,Facturada,ALUBIX,2025-12-29,561701,32,2025/00031,171.82,72234.58,2025-12-30,561701,6427-C-C/00021,both,193,6427-C-C/00021,21,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00021,2025-12-29,32,2025-12-29,ALUBIX SL,C-C/00021,171.82,72234.58,Hecho,both
200,22,6427,ADG32 6427 NANANOU SL,Facturada,ROCALLA,2025-12-29,561703,30,2025/00029,157.3,72391.88,2025-12-30,561703,6427-C-C/00023,both,194,6427-C-C/00023,22,6427,ADG32 6427 NANANOU SL,MGZ01/ENTRA/00025,2025-12-30,30,2025-12-29,ROCALLA SA,C-C/00023,157.3,72391.88,Hecho,both
201,1,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-10-23,538001,3,2025/00003,5057.8,5057.8,2025-12-30,538001,6428-C-C/00003,both,195,6428-C-C/00003,1,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00003,2025-10-24,3,2025-10-23,ALUBIX SL,C-C/00003,5057.8,5057.8,Hecho,both
202,2,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-10-23,538002,5,2025/00001,5619.24,10677.04,2025-12-30,538002,6428-C-C/00004,both,196,6428-C-C/00004,2,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00004,2025-10-24,5,2025-10-23,ROCALLA SA,C-C/00004,5619.24,10677.04,Hecho,both
203,3,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-10-29,540108,8,2025/00008,3649.36,14326.4,2025-12-30,540108,6428-C-C/00006,both,198,6428-C-C/00006,4,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00006,2025-10-29,8,2025-10-29,ALUBIX SL,C-C/00006,3649.36,18505.74,Hecho,both
204,4,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-10-29,540109,6,2025/00004,4179.34,18505.74,2025-12-30,540109,6428-C-C/00005,both,197,6428-C-C/00005,3,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00005,2025-10-29,6,2025-10-29,ROCALLA SA,C-C/00005,4179.34,14856.38,Hecho,both
205,5,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-11-05,542319,10,2025/00010,4143.04,22648.78,2025-12-30,542319,6428-C-C/00008,both,200,6428-C-C/00008,6,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00008,2025-11-05,10,2025-11-05,ALUBIX SL,C-C/00008,4143.04,26583.7,Hecho,both
206,6,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-11-05,542322,8,2025/00005,3934.92,26583.7,2025-12-30,542322,6428-C-C/00007,both,199,6428-C-C/00007,5,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00007,2025-11-05,8,2025-11-05,ROCALLA SA,C-C/00007,3934.92,22440.66,Hecho,both
207,7,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-11-12,545025,11,2025/00015,3683.24,30266.94,2025-12-30,545025,6428-C-C/00009,both,201,6428-C-C/00009,7,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00009,2025-11-12,11,2025-11-12,ALUBIX SL,C-C/00009,3683.24,30266.94,Hecho,both
208,8,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-11-12,545027,11,2025/00010,3932.5,34199.44,2025-12-30,545027,6428-C-C/00010,both,202,6428-C-C/00010,8,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00010,2025-11-12,11,2025-11-12,ROCALLA SA,C-C/00010,3932.5,34199.44,Hecho,both
209,9,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-11-19,547912,16,2025/00016,4404.4,38603.84,2025-12-30,547912,6428-C-C/00011,both,203,6428-C-C/00011,9,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00011,2025-11-19,16,2025-11-19,ALUBIX SL,C-C/00011,4404.4,38603.84,Hecho,both
210,10,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-11-19,547914,14,2025/00013,4302.76,42906.6,2025-12-30,547914,6428-C-C/00012,both,204,6428-C-C/00012,10,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00012,2025-11-19,14,2025-11-19,ROCALLA SA,C-C/00012,4302.76,42906.6,Hecho,both
211,11,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-11-26,551342,17,2025/00021,3988.16,46894.76,2025-12-30,551342,6428-C-C/00014,both,206,6428-C-C/00014,12,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00014,2025-11-26,17,2025-11-26,ALUBIX SL,C-C/00014,3988.16,51110.4,Hecho,both
212,12,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-11-26,551345,19,2025/00015,4215.64,51110.4,2025-12-30,551345,6428-C-C/00013,both,205,6428-C-C/00013,11,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00013,2025-11-26,19,2025-11-26,ROCALLA SA,C-C/00013,4215.64,47122.24,Hecho,both
213,13,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-12-03,554308,20,2025/00026,3891.36,55001.76,2025-12-30,554308,6428-C-C/00015,both,207,6428-C-C/00015,13,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00015,2025-12-03,20,2025-12-03,ALUBIX SL,C-C/00015,3891.36,55001.76,Hecho,both
214,14,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-12-03,554312,21,2025/00018,3978.48,58980.24,2025-12-30,554312,6428-C-C/00016,both,208,6428-C-C/00016,14,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00016,2025-12-03,21,2025-12-03,ROCALLA SA,C-C/00016,3978.48,58980.24,Hecho,both
215,15,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-12-10,556977,25,2025/00030,3417.04,62397.28,2025-12-30,556977,6428-C-C/00017,both,209,6428-C-C/00017,15,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00017,2025-12-10,25,2025-12-10,ALUBIX SL,C-C/00017,3417.04,62397.28,Hecho,both
216,16,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-12-10,556981,24,2025/00020,4164.82,66562.1,2025-12-30,556981,6428-C-C/00018,both,210,6428-C-C/00018,16,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00018,2025-12-10,24,2025-12-10,ROCALLA SA,C-C/00018,4164.82,66562.1,Hecho,both
217,17,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX,2025-12-18,561157,28,2025/00031,3707.44,70269.54,2025-12-30,561157,6428-C-C/00019,both,211,6428-C-C/00019,17,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00019,2025-12-18,28,2025-12-18,ALUBIX SL,C-C/00019,3707.44,70269.54,Hecho,both
218,18,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA,2025-12-18,561158,28,2025/00025,3724.38,73993.92,2025-12-30,561158,6428-C-C/00020,both,212,6428-C-C/00020,18,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00020,2025-12-18,28,2025-12-18,ROCALLA SA,C-C/00020,3724.38,73993.92,Hecho,both
219,19,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX,2025-12-30,561714,31,2025/00034,164.56,74158.48,2025-12-30,561714,6428-C-C/00021,both,213,6428-C-C/00021,19,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00021,2025-12-30,31,2025-12-30,ALUBIX SL,C-C/00021,164.56,74158.48,Hecho,both
220,20,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA,2025-12-30,561715,31,2025/00029,162.14,74320.62,2025-12-30,561715,6428-C-C/00022,both,214,6428-C-C/00022,20,6428,ADG32 6428 ABOUBAL SL,MGZ01/ENTRA/00022,2025-12-30,31,2025-12-30,ROCALLA SA,C-C/00022,162.14,74320.62,Hecho,both
221,1,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ALUBIX SL,2025-10-17,535281,1,2025/00004,1287.44,1287.44,2025-12-30,535281,6431-C-C/00001,both,215,6431-C-C/00001,1,6431,ADG32 6431 GZOUGGAGHI SL,MGZ01/ENTRA/00001,2025-10-17,1,2025-10-17,ALUBIX SL,C-C/00001,1287.44,1287.44,Hecho,both
