ID-TOTS,ID,A_EXPEDIENT_HES,A_EMPRESA_HES,A_PRODUCTE_HES,A_DATA_HES,A_REFERENCIA_HES,A_ORIGEN_HES,A_DESTI_HES,A_UNITATS_HES,A_IN_HES,A_OUT_HES,A_STOCK_HES,A_OPERACIO_HES,A_ESTAT_HES
1520,9,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-10-29 09:42:55,MGZ01/SURT/00006,MGZ01/Stock,Customers,38,,38,29,OP_INTERMITJA,Hecho
1521,10,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-10-29 09:46:00,MGZ01/SURT/00007,MGZ01/Stock,Customers,29,,29,0,OP_INTERMITJA,Hecho
1522,11,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-05 09:13:21,MGZ01/ENTRA/00008,Vendors,MGZ01/Stock,106,106,,106,OP_INTERMITJA,Hecho
1523,12,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-05 09:16:43,MGZ01/SURT/00008,MGZ01/Stock,Customers,37,,37,69,OP_INTERMITJA,Hecho
1524,13,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-05 09:20:59,MGZ01/SURT/00009,MGZ01/Stock,Customers,34,,34,35,OP_INTERMITJA,Hecho
1525,14,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-05 09:25:05,MGZ01/SURT/00010,MGZ01/Stock,Customers,35,,35,0,OP_INTERMITJA,Hecho
1526,15,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-12 09:38:34,MGZ01/ENTRA/00010,Vendors,MGZ01/Stock,106,106,,106,OP_INTERMITJA,Hecho
1527,16,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-12 09:40:21,MGZ01/SURT/00011,MGZ01/Stock,Customers,34,,34,72,OP_INTERMITJA,Hecho
1528,17,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-12 09:43:16,MGZ01/SURT/00012,MGZ01/Stock,Customers,30,,30,42,OP_INTERMITJA,Hecho
1529,18,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-12 09:45:51,MGZ01/SURT/00013,MGZ01/Stock,Customers,42,,42,0,OP_INTERMITJA,Hecho
1530,19,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-19 08:35:20,MGZ01/ENTRA/00012,Vendors,MGZ01/Stock,104,104,,104,OP_INTERMITJA,Hecho
1531,20,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-19 08:40:46,MGZ01/SURT/00014,MGZ01/Stock,Customers,34,,34,70,OP_INTERMITJA,Hecho
1532,21,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-19 08:47:34,MGZ01/SURT/00015,MGZ01/Stock,Customers,41,,41,29,OP_INTERMITJA,Hecho
1533,22,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-19 08:49:18,MGZ01/SURT/00016,MGZ01/Stock,Customers,29,,29,0,OP_INTERMITJA,Hecho
1534,23,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-26 09:25:08,MGZ01/ENTRA/00014,Vendors,MGZ01/Stock,122,122,,122,OP_INTERMITJA,Hecho
1535,24,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-26 09:29:20,MGZ01/SURT/00017,MGZ01/Stock,Customers,40,,40,82,OP_INTERMITJA,Hecho
1536,25,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-26 09:33:03,MGZ01/SURT/00018,MGZ01/Stock,Customers,40,,40,42,OP_INTERMITJA,Hecho
1537,26,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-11-26 09:35:05,MGZ01/SURT/00019,MGZ01/Stock,Customers,42,,42,0,OP_INTERMITJA,Hecho
1538,27,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-12-03 09:21:55,MGZ01/ENTRA/00016,Vendors,MGZ01/Stock,113,113,,113,OP_INTERMITJA,Hecho
1539,28,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-12-03 09:23:48,MGZ01/SURT/00020,MGZ01/Stock,Customers,41,,41,72,OP_INTERMITJA,Hecho
1540,29,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-12-03 09:25:52,MGZ01/SURT/00021,MGZ01/Stock,Customers,43,,43,29,OP_INTERMITJA,Hecho
1541,30,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-12-03 09:27:37,MGZ01/SURT/00022,MGZ01/Stock,Customers,29,,29,0,OP_INTERMITJA,Hecho
1542,31,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-12-10 09:12:16,MGZ01/ENTRA/00018,Vendors,MGZ01/Stock,112,112,,112,OP_INTERMITJA,Hecho
1543,32,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-12-10 09:14:55,MGZ01/SURT/00023,MGZ01/Stock,Customers,34,,34,78,OP_INTERMITJA,Hecho
1544,33,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-12-10 09:17:37,MGZ01/SURT/00024,MGZ01/Stock,Customers,37,,37,41,OP_INTERMITJA,Hecho
1545,34,6431,ADG32 6431 GZOUGGAGHI SL,_504_,2025-12-10 09:20:10,MGZ01/SURT/00025,MGZ01/Stock,Customers,41,,41,0,OP_FINAL,Hecho
1546,1,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-10-17 09:43:46,MGZ01/ENTRA/00001,Vendors,MGZ01/Stock,81,81,,81,OP_INICIAL,Hecho
1547,2,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-10-17 10:21:56,MGZ01/SURT/00001,MGZ01/Stock,Customers,81,,81,0,OP_INTERMITJA,Hecho
1548,3,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-10-23 08:59:18,MGZ01/ENTRA/00003,Vendors,MGZ01/Stock,207,207,,207,OP_INTERMITJA,Hecho
1549,4,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-10-24 11:04:39,MGZ01/SURT/00004,MGZ01/Stock,Customers,73,,73,134,OP_INTERMITJA,Hecho
1550,5,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-10-24 11:05:58,MGZ01/SURT/00003,MGZ01/Stock,Customers,69,,69,65,OP_INTERMITJA,Hecho
1551,6,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-10-24 11:06:56,MGZ01/SURT/00002,MGZ01/Stock,Customers,65,,65,0,OP_INTERMITJA,Hecho
1552,7,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-10-29 10:34:11,MGZ01/ENTRA/00005,Vendors,MGZ01/Stock,208,208,,208,OP_INTERMITJA,Hecho
1553,8,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-10-29 10:51:06,MGZ01/SURT/00005,MGZ01/Stock,Customers,80,,80,128,OP_INTERMITJA,Hecho
1554,9,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-10-29 10:53:48,MGZ01/SURT/00006,MGZ01/Stock,Customers,64,,64,64,OP_INTERMITJA,Hecho
1555,10,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-10-29 10:56:33,MGZ01/SURT/00007,MGZ01/Stock,Customers,64,,64,0,OP_INTERMITJA,Hecho
1556,11,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-05 10:27:46,MGZ01/ENTRA/00007,Vendors,MGZ01/Stock,196,196,,196,OP_INTERMITJA,Hecho
1557,12,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-07 11:30:27,MGZ01/SURT/00008,MGZ01/Stock,Customers,68,,68,128,OP_INTERMITJA,Hecho
1558,13,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-07 11:35:40,MGZ01/SURT/00009,MGZ01/Stock,Customers,77,,77,51,OP_INTERMITJA,Hecho
1559,14,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-07 11:37:30,MGZ01/SURT/00010,MGZ01/Stock,Customers,51,,51,0,OP_INTERMITJA,Hecho
1560,15,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-14 08:52:09,MGZ01/ENTRA/00011,Vendors,MGZ01/Stock,207,207,,207,OP_INTERMITJA,Hecho
1561,16,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-14 09:02:57,MGZ01/SURT/00011,MGZ01/Stock,Customers,69,,69,138,OP_INTERMITJA,Hecho
1562,17,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-14 09:05:46,MGZ01/SURT/00012,MGZ01/Stock,Customers,70,,70,68,OP_INTERMITJA,Hecho
1563,18,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-14 09:08:01,MGZ01/SURT/00013,MGZ01/Stock,Customers,68,,68,0,OP_INTERMITJA,Hecho
1564,19,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-21 08:27:22,MGZ01/ENTRA/00012,Vendors,MGZ01/Stock,215,215,,215,OP_INTERMITJA,Hecho
1565,20,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-21 08:35:15,MGZ01/SURT/00014,MGZ01/Stock,Customers,47,,47,168,OP_INTERMITJA,Hecho
1566,21,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-21 08:39:14,MGZ01/SURT/00015,MGZ01/Stock,Customers,85,,85,83,OP_INTERMITJA,Hecho
1567,22,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-21 08:43:19,MGZ01/SURT/00016,MGZ01/Stock,Customers,83,,83,0,OP_INTERMITJA,Hecho
1568,23,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-26 10:03:56,MGZ01/ENTRA/00015,Vendors,MGZ01/Stock,205,205,,205,OP_INTERMITJA,Hecho
1569,24,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-26 10:08:57,MGZ01/SURT/00019,MGZ01/Stock,Customers,61,,61,144,OP_INTERMITJA,Hecho
1570,25,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-26 10:09:09,MGZ01/SURT/00018,MGZ01/Stock,Customers,68,,68,76,OP_INTERMITJA,Hecho
1571,26,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-11-26 10:09:18,MGZ01/SURT/00017,MGZ01/Stock,Customers,76,,76,0,OP_INTERMITJA,Hecho
1572,27,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-12-04 08:30:22,MGZ01/ENTRA/00016,Vendors,MGZ01/Stock,204,204,,204,OP_INTERMITJA,Hecho
1573,28,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-12-04 08:51:59,MGZ01/SURT/00021,MGZ01/Stock,Customers,77,,77,127,OP_INTERMITJA,Hecho
1574,29,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-12-04 08:52:06,MGZ01/SURT/00020,MGZ01/Stock,Customers,60,,60,67,OP_INTERMITJA,Hecho
1575,30,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-12-04 08:54:24,MGZ01/SURT/00022,MGZ01/Stock,Customers,67,,67,0,OP_INTERMITJA,Hecho
1576,31,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-12-11 21:18:18,MGZ01/ENTRA/00018,Vendors,MGZ01/Stock,219,219,,219,OP_INTERMITJA,Hecho
1577,32,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-12-11 21:26:05,MGZ01/SURT/00023,MGZ01/Stock,Customers,76,,76,143,OP_INTERMITJA,Hecho
1578,33,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-12-11 21:29:03,MGZ01/SURT/00024,MGZ01/Stock,Customers,60,,60,83,OP_INTERMITJA,Hecho
1579,34,6467,ADG32 6467 WCHANTAH SL,_CB0002_,2025-12-11 21:32:21,MGZ01/SURT/00025,MGZ01/Stock,Customers,83,,83,0,OP_FINAL,Hecho
1580,1,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-10-17 09:43:46,MGZ01/ENTRA/00001,Vendors,MGZ01/Stock,68,68,,68,OP_INICIAL,Hecho
1581,2,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-10-17 10:21:56,MGZ01/SURT/00001,MGZ01/Stock,Customers,68,,68,0,OP_INTERMITJA,Hecho
1582,3,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-10-23 08:59:18,MGZ01/ENTRA/00003,Vendors,MGZ01/Stock,179,179,,179,OP_INTERMITJA,Hecho
1583,4,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-10-24 11:04:39,MGZ01/SURT/00004,MGZ01/Stock,Customers,67,,67,112,OP_INTERMITJA,Hecho
1584,5,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-10-24 11:05:58,MGZ01/SURT/00003,MGZ01/Stock,Customers,62,,62,50,OP_INTERMITJA,Hecho
1585,6,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-10-24 11:06:56,MGZ01/SURT/00002,MGZ01/Stock,Customers,50,,50,0,OP_INTERMITJA,Hecho
1586,7,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-10-29 10:34:11,MGZ01/ENTRA/00005,Vendors,MGZ01/Stock,224,224,,224,OP_INTERMITJA,Hecho
1587,8,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-10-29 10:51:06,MGZ01/SURT/00005,MGZ01/Stock,Customers,94,,94,130,OP_INTERMITJA,Hecho
1588,9,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-10-29 10:53:48,MGZ01/SURT/00006,MGZ01/Stock,Customers,71,,71,59,OP_INTERMITJA,Hecho
1589,10,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-10-29 10:56:33,MGZ01/SURT/00007,MGZ01/Stock,Customers,59,,59,0,OP_INTERMITJA,Hecho
1590,11,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-05 10:27:46,MGZ01/ENTRA/00007,Vendors,MGZ01/Stock,182,182,,182,OP_INTERMITJA,Hecho
1591,12,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-07 11:30:27,MGZ01/SURT/00008,MGZ01/Stock,Customers,47,,47,135,OP_INTERMITJA,Hecho
1592,13,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-07 11:35:40,MGZ01/SURT/00009,MGZ01/Stock,Customers,61,,61,74,OP_INTERMITJA,Hecho
1593,14,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-07 11:37:30,MGZ01/SURT/00010,MGZ01/Stock,Customers,74,,74,0,OP_INTERMITJA,Hecho
1594,15,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-14 08:52:09,MGZ01/ENTRA/00011,Vendors,MGZ01/Stock,205,205,,205,OP_INTERMITJA,Hecho
1595,16,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-14 09:02:57,MGZ01/SURT/00011,MGZ01/Stock,Customers,67,,67,138,OP_INTERMITJA,Hecho
1596,17,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-14 09:05:46,MGZ01/SURT/00012,MGZ01/Stock,Customers,76,,76,62,OP_INTERMITJA,Hecho
1597,18,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-14 09:08:01,MGZ01/SURT/00013,MGZ01/Stock,Customers,62,,62,0,OP_INTERMITJA,Hecho
1598,19,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-21 08:27:22,MGZ01/ENTRA/00012,Vendors,MGZ01/Stock,205,205,,205,OP_INTERMITJA,Hecho
1599,20,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-21 08:35:15,MGZ01/SURT/00014,MGZ01/Stock,Customers,39,,39,166,OP_INTERMITJA,Hecho
1600,21,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-21 08:39:14,MGZ01/SURT/00015,MGZ01/Stock,Customers,85,,85,81,OP_INTERMITJA,Hecho
1601,22,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-21 08:43:19,MGZ01/SURT/00016,MGZ01/Stock,Customers,81,,81,0,OP_INTERMITJA,Hecho
1602,23,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-26 10:03:56,MGZ01/ENTRA/00015,Vendors,MGZ01/Stock,190,190,,190,OP_INTERMITJA,Hecho
1603,24,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-26 10:08:57,MGZ01/SURT/00019,MGZ01/Stock,Customers,58,,58,132,OP_INTERMITJA,Hecho
1604,25,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-26 10:09:09,MGZ01/SURT/00018,MGZ01/Stock,Customers,67,,67,65,OP_INTERMITJA,Hecho
1605,26,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-11-26 10:09:18,MGZ01/SURT/00017,MGZ01/Stock,Customers,65,,65,0,OP_INTERMITJA,Hecho
1606,27,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-12-04 08:30:22,MGZ01/ENTRA/00016,Vendors,MGZ01/Stock,197,197,,197,OP_INTERMITJA,Hecho
1607,28,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-12-04 08:51:59,MGZ01/SURT/00021,MGZ01/Stock,Customers,63,,63,134,OP_INTERMITJA,Hecho
1608,29,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-12-04 08:52:06,MGZ01/SURT/00020,MGZ01/Stock,Customers,62,,62,72,OP_INTERMITJA,Hecho
1609,30,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-12-04 08:54:24,MGZ01/SURT/00022,MGZ01/Stock,Customers,72,,72,0,OP_INTERMITJA,Hecho
1610,31,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-12-11 21:18:18,MGZ01/ENTRA/00018,Vendors,MGZ01/Stock,221,221,,221,OP_INTERMITJA,Hecho
1611,32,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-12-11 21:26:05,MGZ01/SURT/00023,MGZ01/Stock,Customers,84,,84,137,OP_INTERMITJA,Hecho
1612,33,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-12-11 21:29:03,MGZ01/SURT/00024,MGZ01/Stock,Customers,66,,66,71,OP_INTERMITJA,Hecho
1613,34,6467,ADG32 6467 WCHANTAH SL,_PB0001_,2025-12-11 21:32:21,MGZ01/SURT/00025,MGZ01/Stock,Customers,71,,71,0,OP_FINAL,Hecho
1614,1,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-10-17 09:44:31,MGZ01/ENTRA/00002,Vendors,MGZ01/Stock,89,89,,89,OP_INICIAL,Hecho
1615,2,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-10-17 10:21:56,MGZ01/SURT/00001,MGZ01/Stock,Customers,89,,89,0,OP_INTERMITJA,Hecho
1616,3,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-10-24 09:06:44,MGZ01/ENTRA/00004,Vendors,MGZ01/Stock,192,192,,192,OP_INTERMITJA,Hecho
1617,4,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-10-24 11:04:39,MGZ01/SURT/00004,MGZ01/Stock,Customers,61,,61,131,OP_INTERMITJA,Hecho
1618,5,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-10-24 11:05:58,MGZ01/SURT/00003,MGZ01/Stock,Customers,83,,83,48,OP_INTERMITJA,Hecho
1619,6,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-10-24 11:06:56,MGZ01/SURT/00002,MGZ01/Stock,Customers,48,,48,0,OP_INTERMITJA,Hecho
1620,7,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-10-29 10:36:19,MGZ01/ENTRA/00006,Vendors,MGZ01/Stock,200,200,,200,OP_INTERMITJA,Hecho
1621,8,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-10-29 10:51:06,MGZ01/SURT/00005,MGZ01/Stock,Customers,75,,75,125,OP_INTERMITJA,Hecho
1622,9,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-10-29 10:53:48,MGZ01/SURT/00006,MGZ01/Stock,Customers,62,,62,63,OP_INTERMITJA,Hecho
1623,10,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-10-29 10:56:33,MGZ01/SURT/00007,MGZ01/Stock,Customers,63,,63,0,OP_INTERMITJA,Hecho
1624,11,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-05 10:30:08,MGZ01/ENTRA/00008,Vendors,MGZ01/Stock,208,208,,208,OP_INTERMITJA,Hecho
1625,12,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-07 11:30:27,MGZ01/SURT/00008,MGZ01/Stock,Customers,70,,70,138,OP_INTERMITJA,Hecho
1626,13,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-07 11:35:40,MGZ01/SURT/00009,MGZ01/Stock,Customers,63,,63,75,OP_INTERMITJA,Hecho
1627,14,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-07 11:37:30,MGZ01/SURT/00010,MGZ01/Stock,Customers,75,,75,0,OP_INTERMITJA,Hecho
1628,15,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-14 08:49:53,MGZ01/ENTRA/00010,Vendors,MGZ01/Stock,221,221,,221,OP_INTERMITJA,Hecho
1629,16,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-14 09:02:57,MGZ01/SURT/00011,MGZ01/Stock,Customers,83,,83,138,OP_INTERMITJA,Hecho
1630,17,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-14 09:05:46,MGZ01/SURT/00012,MGZ01/Stock,Customers,70,,70,68,OP_INTERMITJA,Hecho
1631,18,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-14 09:08:01,MGZ01/SURT/00013,MGZ01/Stock,Customers,68,,68,0,OP_INTERMITJA,Hecho
1632,19,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-21 08:31:39,MGZ01/ENTRA/00013,Vendors,MGZ01/Stock,230,230,,230,OP_INTERMITJA,Hecho
1633,20,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-21 08:35:15,MGZ01/SURT/00014,MGZ01/Stock,Customers,56,,56,174,OP_INTERMITJA,Hecho
1634,21,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-21 08:39:14,MGZ01/SURT/00015,MGZ01/Stock,Customers,86,,86,88,OP_INTERMITJA,Hecho
1635,22,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-21 08:43:19,MGZ01/SURT/00016,MGZ01/Stock,Customers,88,,88,0,OP_INTERMITJA,Hecho
1636,23,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-26 10:02:32,MGZ01/ENTRA/00014,Vendors,MGZ01/Stock,190,190,,190,OP_INTERMITJA,Hecho
1637,24,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-26 10:08:57,MGZ01/SURT/00019,MGZ01/Stock,Customers,53,,53,137,OP_INTERMITJA,Hecho
1638,25,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-26 10:09:09,MGZ01/SURT/00018,MGZ01/Stock,Customers,74,,74,63,OP_INTERMITJA,Hecho
1639,26,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-11-26 10:09:18,MGZ01/SURT/00017,MGZ01/Stock,Customers,63,,63,0,OP_INTERMITJA,Hecho
1640,27,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-12-04 08:37:26,MGZ01/ENTRA/00017,Vendors,MGZ01/Stock,195,195,,195,OP_INTERMITJA,Hecho
1641,28,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-12-04 08:51:59,MGZ01/SURT/00021,MGZ01/Stock,Customers,70,,70,125,OP_INTERMITJA,Hecho
1642,29,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-12-04 08:52:06,MGZ01/SURT/00020,MGZ01/Stock,Customers,57,,57,68,OP_INTERMITJA,Hecho
1643,30,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-12-04 08:54:24,MGZ01/SURT/00022,MGZ01/Stock,Customers,68,,68,0,OP_INTERMITJA,Hecho
1644,31,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-12-11 21:22:30,MGZ01/ENTRA/00019,Vendors,MGZ01/Stock,212,212,,212,OP_INTERMITJA,Hecho
1645,32,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-12-11 21:26:05,MGZ01/SURT/00023,MGZ01/Stock,Customers,75,,75,137,OP_INTERMITJA,Hecho
1646,33,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-12-11 21:29:03,MGZ01/SURT/00024,MGZ01/Stock,Customers,54,,54,83,OP_INTERMITJA,Hecho
1647,34,6467,ADG32 6467 WCHANTAH SL,_PE0003_,2025-12-11 21:32:21,MGZ01/SURT/00025,MGZ01/Stock,Customers,80,,80,3,OP_FINAL,Hecho
1648,1,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-10-17 09:44:31,MGZ01/ENTRA/00002,Vendors,MGZ01/Stock,79,79,,79,OP_INICIAL,Hecho
1649,2,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-10-17 10:21:56,MGZ01/SURT/00001,MGZ01/Stock,Customers,79,,79,0,OP_INTERMITJA,Hecho
1650,3,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-10-24 09:06:44,MGZ01/ENTRA/00004,Vendors,MGZ01/Stock,215,215,,215,OP_INTERMITJA,Hecho
1651,4,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-10-24 11:04:39,MGZ01/SURT/00004,MGZ01/Stock,Customers,63,,63,152,OP_INTERMITJA,Hecho
1652,5,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-10-24 11:05:58,MGZ01/SURT/00003,MGZ01/Stock,Customers,82,,82,70,OP_INTERMITJA,Hecho
1653,6,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-10-24 11:06:56,MGZ01/SURT/00002,MGZ01/Stock,Customers,70,,70,0,OP_INTERMITJA,Hecho
1654,7,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-10-29 10:36:19,MGZ01/ENTRA/00006,Vendors,MGZ01/Stock,199,199,,199,OP_INTERMITJA,Hecho
1655,8,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-10-29 10:51:06,MGZ01/SURT/00005,MGZ01/Stock,Customers,77,,77,122,OP_INTERMITJA,Hecho
1656,9,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-10-29 10:53:48,MGZ01/SURT/00006,MGZ01/Stock,Customers,65,,65,57,OP_INTERMITJA,Hecho
1657,10,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-10-29 10:56:33,MGZ01/SURT/00007,MGZ01/Stock,Customers,57,,57,0,OP_INTERMITJA,Hecho
1658,11,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-11-05 10:30:08,MGZ01/ENTRA/00008,Vendors,MGZ01/Stock,220,220,,220,OP_INTERMITJA,Hecho
1659,12,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-11-07 11:30:27,MGZ01/SURT/00008,MGZ01/Stock,Customers,58,,58,162,OP_INTERMITJA,Hecho
1660,13,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-11-07 11:35:40,MGZ01/SURT/00009,MGZ01/Stock,Customers,90,,90,72,OP_INTERMITJA,Hecho
1661,14,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-11-07 11:37:30,MGZ01/SURT/00010,MGZ01/Stock,Customers,72,,72,0,OP_INTERMITJA,Hecho
1662,15,6467,ADG32 6467 WCHANTAH SL,_PR0004_,2025-11-14 08:49:53,MGZ01/ENTRA/00010,Vendors,MGZ01/Stock,209,209,,209,OP_INTERMITJA,Hecho
