R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C
415,6,6777,ADG32 6777 JGARCIA SL,Pagada,ROCALLA SA,2025-10-29,540085,10,2025/00007,4385.04,19321.28
416,7,6777,ADG32 6777 JGARCIA SL,Facturada,ALUBIX SL,2025-11-05,542309,15,2025/00015,3492.06,22813.34
417,8,6777,ADG32 6777 JGARCIA SL,Facturada,ROCALLA SA,2025-11-05,542314,14,2025/00008,4031.72,26845.06
418,9,6777,ADG32 6777 JGARCIA SL,Facturada,ALUBIX SL,2025-11-12,544969,20,2025/00017,4097.06,30942.12
419,10,6777,ADG32 6777 JGARCIA SL,Facturada,ROCALLA SA,2025-11-12,544971,16,2025/00012,3901.04,34843.16
420,11,6777,ADG32 6777 JGARCIA SL,Facturada,ALUBIX SL,2025-11-19,547910,24,2025/00019,4266.46,39109.62
421,12,6777,ADG32 6777 JGARCIA SL,Facturada,ROCALLA SA,2025-11-19,547913,19,2025/00015,4259.20,43368.82
422,13,6777,ADG32 6777 JGARCIA SL,Facturada,ALUBIX SL,2025-11-26,551269,26,2025/00021,3939.76,47308.58
423,14,6777,ADG32 6777 JGARCIA SL,Facturada,ROCALLA SA,2025-11-26,551274,23,2025/00016,4293.08,51601.66
424,15,6777,ADG32 6777 JGARCIA SL,Facturada,ALUBIX SL,2025-12-03,554279,30,2025/00024,3782.46,55384.12
425,16,6777,ADG32 6777 JGARCIA SL,Facturada,ROCALLA SA,2025-12-03,554284,24,2025/00017,3639.68,59023.80
426,17,6777,ADG32 6777 JGARCIA SL,Facturada,ALUBIX SL,2025-12-10,556840,35,2025/00027,3927.66,62951.46
427,18,6777,ADG32 6777 JGARCIA SL,Facturada,ROCALLA SA,2025-12-10,556842,26,2025/00019,3736.48,66687.94
428,19,6777,ADG32 6777 JGARCIA SL,Pagada,ALUBIX SL,2025-12-18,561008,37,2025/00029,2991.12,69679.06
429,20,6777,ADG32 6777 JGARCIA SL,Pagada,ROCALLA SA,2025-12-18,561010,30,2025/00023,4256.78,73935.84
430,21,6777,ADG32 6777 JGARCIA SL,Pagada,ALUBIX SL,2025-12-19,561428,41,2025/00033,992.20,74928.04
431,22,6777,ADG32 6777 JGARCIA SL,Pagada,ROCALLA SA,2025-12-19,561429,32,2025/00024,1602.04,76530.08
432,23,6777,ADG32 6777 JGARCIA SL,Facturada,ALUBIX SL,2025-12-29,561698,45,2025/00038,159.72,76689.80
433,24,6777,ADG32 6777 JGARCIA SL,Facturada,ROCALLA SA,2025-12-29,561699,35,2025/00026,159.72,76849.52
434,1,6792,ADG32 6792 PCAPO SL,Pagada,ALUBIX SL,2025-10-17,535308,2,2025/00003,1693.40,1693.40
435,2,6792,ADG32 6792 PCAPO SL,Pagada,ROCALLA SA,2025-10-17,535320,3,2025/00003,568.10,2261.50
436,3,6792,ADG32 6792 PCAPO SL,Pagada,ALUBIX SL,2025-10-24,538557,8,2025/00010,4165.43,6426.93
437,4,6792,ADG32 6792 PCAPO SL,Pagada,ROCALLA SA,2025-10-24,538564,6,2025/00005,1442.32,7869.25
438,5,6792,ADG32 6792 PCAPO SL,Pagada,ALUBIX SL,2025-10-24,538917,13,2025/00005,1684.32,9553.57
439,6,6792,ADG32 6792 PCAPO SL,Pagada,ROCALLA SA,2025-10-24,538923,9,2025/00010,537.85,10091.42
440,7,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-11-03,541832,14,2025/00014,248.66,10340.08
441,8,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-03,541833,13,2025/00014,143.39,10483.47
442,9,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-11-03,541842,16,2025/00019,1976.54,12460.01
443,10,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-03,541843,15,2025/00017,619.52,13079.53
444,11,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-11-03,541844,17,2025/00021,2187.08,15266.61
445,12,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-03,541845,20,2025/00021,748.99,16015.60
446,13,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-04,541850,23,2025/00026,1.21,16016.81
447,14,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-11-04,541851,21,2025/00023,1684.32,17701.13
448,15,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-04,541852,27,2025/00030,537.85,18238.98
449,16,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-11-05,542297,23,2025/00032,2125.37,20364.35
450,17,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-05,542300,30,2025/00037,687.89,21052.24
451,18,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-11-05,542352,27,2025/00027,1615.35,22667.59
452,19,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-05,542355,32,2025/00032,529.38,23196.97
453,20,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-11-05,542384,31,2025/00035,1795.04,24992.01
454,21,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-05,542387,34,2025/00042,619.52,25611.53
455,22,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-11-13,546114,35,2025/00037,5778.96,31390.49
456,23,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-13,546115,38,2025/00046,1923.30,33313.79
457,24,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-11-20,549163,36,2025/00040,6122.00,39435.79
458,25,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-20,549166,41,2025/00050,2068.50,41504.29
459,26,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-11-28,552657,38,2025/00043,5646.47,47150.76
460,27,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-11-28,552659,43,2025/00051,1968.67,49119.43
461,28,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-12-03,554387,42,2025/00046,5916.90,55036.33
462,29,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-12-03,554391,47,2025/00052,2058.82,57095.15
463,30,6792,ADG32 6792 PCAPO SL,Facturada,ALUBIX SL,2025-12-11,557677,47,2025/00051,6221.82,63316.97
464,31,6792,ADG32 6792 PCAPO SL,Facturada,ROCALLA SA,2025-12-11,557680,48,2025/00054,2002.55,65319.52
465,32,6792,ADG32 6792 PCAPO SL,Pagada,ALUBIX SL,2025-12-19,561422,48,2025/00055,5820.71,71140.23
466,33,6792,ADG32 6792 PCAPO SL,Pagada,ROCALLA SA,2025-12-19,561423,52,2025/00056,2044.90,73185.13
467,1,6844,ADG32 6844 TTRAMULLAS SL,Pagada,ALUBIX SL,2025-10-17,535279,1,2025/00001,1488.30,1488.30
468,2,6844,ADG32 6844 TTRAMULLAS SL,Pagada,ROCALLA SA,2025-10-17,535297,4,2025/00002,1205.16,2693.46
469,3,6844,ADG32 6844 TTRAMULLAS SL,Pagada,ALUBIX SL,2025-10-22,537107,2,2025/00005,6824.40,9517.86
470,4,6844,ADG32 6844 TTRAMULLAS SL,Pagada,ROCALLA SA,2025-10-22,537110,8,2025/00003,3550.14,13068.00
471,5,6844,ADG32 6844 TTRAMULLAS SL,Pagada,ALUBIX SL,2025-10-29,540068,5,2025/00007,2432.10,15500.10
472,6,6844,ADG32 6844 TTRAMULLAS SL,Pagada,ROCALLA SA,2025-10-29,540071,10,2025/00006,3315.40,18815.50
473,7,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ALUBIX SL,2025-11-05,542294,10,2025/00011,4731.10,23546.60
474,8,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ROCALLA SA,2025-11-05,542295,11,2025/00009,3396.47,26943.07
475,9,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ALUBIX SL,2025-11-12,545009,14,2025/00012,4634.30,31577.37
476,10,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ROCALLA SA,2025-11-12,545013,12,2025/00013,3512.63,35090.00
477,11,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ALUBIX SL,2025-11-19,547930,15,2025/00014,4900.50,39990.50
478,12,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ROCALLA SA,2025-11-19,547932,16,2025/00015,4014.78,44005.28
479,13,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ALUBIX SL,2025-11-26,551230,20,2025/00017,3847.80,47853.08
480,14,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ROCALLA SA,2025-11-26,551233,17,2025/00019,2965.71,50818.79
481,15,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ALUBIX SL,2025-12-05,555605,21,2025/00021,5336.10,56154.89
482,16,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ROCALLA SA,2025-12-05,555606,18,2025/00020,3587.65,59742.54
483,17,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ALUBIX SL,2025-12-10,556831,25,2025/00025,4876.30,64618.84
484,18,6844,ADG32 6844 TTRAMULLAS SL,Facturada,ROCALLA SA,2025-12-10,556833,21,2025/00022,3421.88,68040.72
485,19,6844,ADG32 6844 TTRAMULLAS SL,Pagada,ALUBIX SL,2025-12-19,561458,26,2025/00028,5832.20,73872.92
486,20,6844,ADG32 6844 TTRAMULLAS SL,Pagada,ROCALLA SA,2025-12-19,561461,25,2025/00025,2971.76,76844.68
